Date,Venue,Result,GF,GA,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,Team ID,Opponent ID,Points,Goal Difference,xG Difference,Shot Accuracy,Team_Points_mean,Team_Points_var,Team_GF_mean,Team_GF_var,Team_GA_mean,Team_GA_var,Team_xG_mean,Team_xG_var,Team_xGA_mean,Team_xGA_var,Team_Sh_mean,Team_Sh_var,Team_SoT_mean,Team_SoT_var,Team_Goal Difference_mean,Team_Goal Difference_var,Team_xG Difference_mean,Team_xG Difference_var,Team_Shot Accuracy_mean,Team_Shot Accuracy_var,Team_Poss_mean,Team_Poss_var,Team_FK_mean,Team_FK_var,Team_PK_mean,Team_PK_var,Team_PKatt_mean,Team_PKatt_var,Opponent_Points_mean,Opponent_Points_var,Opponent_GF_mean,Opponent_GF_var,Opponent_GA_mean,Opponent_GA_var,Opponent_xG_mean,Opponent_xG_var,Opponent_xGA_mean,Opponent_xGA_var,Opponent_Sh_mean,Opponent_Sh_var,Opponent_SoT_mean,Opponent_SoT_var,Opponent_Goal Difference_mean,Opponent_Goal Difference_var,Opponent_xG Difference_mean,Opponent_xG Difference_var,Opponent_Shot Accuracy_mean,Opponent_Shot Accuracy_var,Opponent_Poss_mean,Opponent_Poss_var,Opponent_FK_mean,Opponent_FK_var,Opponent_PK_mean,Opponent_PK_var,Opponent_PKatt_mean,Opponent_PKatt_var
2024-09-17,Away,W,3.0,1.0,3.1,0.6,51.0,23.0,11.0,15.7,1.0,0.0,0.0,0,12.0,3,2.0,2.5,0.4782608695652174,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,1.875,2.4107142857142856,1.75,1.357142857142857,1.375,0.8392857142857143,1.45,0.39142857142857135,1.55,0.8742857142857146,14.875,11.55357142857143,5.75,6.5,0.375,2.267857142857143,-0.09999999999999998,1.44,0.3779105392156863,0.016738426265989592,52.625,70.55357142857143,0.875,1.5535714285714284,0.0,0.0,0.0,0.0
2024-10-02,Home,W,2.0,0.0,1.2,0.6,51.0,9.0,4.0,15.4,0.0,0.0,0.0,0,27.0,3,2.0,0.6,0.4444444444444444,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,0.75,1.0714285714285714,0.5,0.5714285714285714,1.125,0.6964285714285715,1.0375,0.3998214285714286,1.2375,0.14839285714285716,11.75,15.928571428571429,3.375,3.6964285714285716,-0.625,1.125,-0.2,0.42857142857142855,0.2778043035395976,0.01341230261347774,49.25,17.928571428571423,0.375,0.2678571428571429,0.0,0.0,0.0,0.0
2024-10-23,Away,W,1.0,0.0,2.3,0.8,57.0,17.0,7.0,17.3,0.0,0.0,0.0,0,31.0,3,1.0,1.4999999999999998,0.4117647058823529,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,0.375,1.1250000000000002,1.0,0.8571428571428571,1.875,0.9821428571428571,1.525,1.0707142857142855,1.5875,0.22410714285714284,12.75,29.928571428571423,4.5,3.714285714285715,-0.875,0.6964285714285713,-0.06249999999999995,1.6541071428571428,0.3600138884985432,0.019135842864840543,47.5,35.142857142857146,0.625,0.5535714285714286,0.125,0.12500000000000003,0.125,0.12500000000000003
2024-11-05,Home,W,4.0,0.0,3.7,0.9,47.0,22.0,8.0,15.8,1.0,0.0,0.0,0,5.0,3,4.0,2.8000000000000003,0.3636363636363636,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,2.0,2.0,1.875,2.9821428571428568,0.875,2.1249999999999996,1.6625,1.294107142857143,1.0125,1.2412500000000002,16.375,51.125,6.375,11.69642857142857,1.0,8.0,0.6499999999999999,3.400000000000001,0.38118330811345513,0.007250037284326024,59.125,66.98214285714288,0.5,0.8571428571428571,0.125,0.12500000000000003,0.125,0.12500000000000003
2024-11-27,Home,W,2.0,0.0,2.7,1.2,63.0,16.0,7.0,16.7,0.0,0.0,1.0,0,10.0,3,2.0,1.5000000000000002,0.4375,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,1.875,2.4107142857142856,2.5,4.0,1.5,0.8571428571428571,2.425,0.45357142857142857,1.8625,0.8826785714285714,15.625,41.69642857142856,6.5,6.285714285714285,1.0,5.7142857142857135,0.5625,1.8969642857142854,0.4191537629037629,0.0074794361829202,52.875,107.55357142857143,0.375,0.2678571428571429,0.125,0.12500000000000003,0.25,0.21428571428571427
2024-12-10,Away,W,1.0,0.0,1.8,1.2,62.0,14.0,6.0,18.8,1.0,1.0,1.0,0,32.0,3,1.0,0.6000000000000001,0.4285714285714285,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,0.375,1.125,0.625,0.8392857142857143,1.625,1.6964285714285716,1.1875,0.42125,1.5625,0.38839285714285715,9.625,14.553571428571429,3.5,3.4285714285714284,-1.0,2.5714285714285716,-0.375,1.239285714285714,0.35787823287823284,0.01113599355238668,50.875,208.6964285714286,0.125,0.12500000000000003,0.0,0.0,0.25,0.21428571428571427
2025-01-21,Home,W,2.0,1.0,2.5,0.5,56.0,13.0,7.0,15.8,0.0,0.0,0.0,0,6.0,3,1.0,2.0,0.5384615384615384,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,2.0,2.0,2.125,3.5535714285714284,1.25,0.49999999999999994,1.1875,0.3955357142857143,1.6875,0.33553571428571427,9.125,32.12499999999999,3.875,8.124999999999998,0.875,4.410714285714286,-0.49999999999999994,0.9457142857142856,0.41994047619047614,0.0191738540654357,47.375,121.12499999999997,0.25,0.21428571428571433,0.25,0.21428571428571427,0.25,0.21428571428571427
2025-01-29,Away,L,2.0,3.0,1.6,1.3,47.0,8.0,4.0,19.0,0.0,1.0,1.0,0,13.0,0,-1.0,0.3,0.5,2.625,1.125,2.125,0.9821428571428571,0.625,1.1250000000000002,2.3625,0.6741071428571429,0.8875,0.09839285714285717,15.25,29.642857142857142,6.75,5.071428571428571,1.5,2.0,1.475,0.8564285714285715,0.45032991882016815,0.002955737576764987,54.25,39.07142857142859,0.375,0.2678571428571429,0.25,0.21428571428571427,0.375,0.2678571428571429,1.75,1.9285714285714286,2.0,2.0,1.5,0.8571428571428571,1.5125000000000002,0.7355357142857144,1.7875,0.6155357142857143,17.75,74.78571428571429,7.25,26.21428571428572,0.5,3.142857142857143,-0.2749999999999999,2.4735714285714283,0.38537011599511595,0.006096355673816752,55.5,109.99999999999999,0.375,0.26785714285714285,0.0,0.0,0.0,0.0
2024-09-19,Away,L,1.0,2.0,0.4,1.3,44.0,4.0,1.0,18.5,1.0,0.0,0.0,1,16.0,0,-1.0,-0.9,0.25,2.375,1.4107142857142858,3.5,2.2857142857142856,1.625,1.6964285714285716,2.55,1.1514285714285715,1.325,1.2792857142857141,15.625,33.982142857142854,6.5,7.714285714285714,1.875,3.8392857142857144,1.225,2.5535714285714284,0.40363438644688643,0.011822734233785792,61.5,186.57142857142858,0.625,0.5535714285714286,0.375,0.5535714285714286,0.375,0.5535714285714286,1.625,2.267857142857143,1.625,2.5535714285714284,1.625,1.6964285714285716,1.4,0.917142857142857,1.625,1.6564285714285714,12.125,52.982142857142854,4.25,7.642857142857143,0.0,5.428571428571429,-0.22500000000000003,3.702142857142857,0.32366672679172676,0.021031641937162917,50.875,129.83928571428575,0.5,0.2857142857142857,0.125,0.12500000000000003,0.125,0.12500000000000003
2024-10-01,Home,W,5.0,0.0,3.4,0.8,69.0,21.0,8.0,15.0,0.0,0.0,0.0,1,35.0,3,5.0,2.6,0.3809523809523809,2.375,1.4107142857142858,3.5,2.2857142857142856,1.625,1.6964285714285716,2.55,1.1514285714285715,1.325,1.2792857142857141,15.625,33.982142857142854,6.5,7.714285714285714,1.875,3.8392857142857144,1.225,2.5535714285714284,0.40363438644688643,0.011822734233785792,61.5,186.57142857142858,0.625,0.5535714285714286,0.375,0.5535714285714286,0.375,0.5535714285714286,0.0,0.0,0.375,0.2678571428571429,3.0,4.285714285714286,0.7000000000000001,0.07999999999999999,2.3875,0.4098214285714283,10.125,23.26785714285714,2.25,2.5,-2.625,3.410714285714285,-1.6875,0.4412500000000001,0.2295138888888889,0.016611414241622574,41.75,40.5,0.25,0.21428571428571427,0.0,0.0,0.0,0.0
